ID	stim_file	start_vol	end_vol
sub-control015	11_K21_long_combined_small.mp4	872	893
sub-control015	12_H37_combined_small.mp4	843	857
sub-control015	13_Trick6_short_combined_small.mp4	1070	1088
sub-control015	14_K19_long_combined_small.mp4	536	551
sub-control015	15_S18_combined_small.mp4	478	493
sub-control015	16_H19_combined_small.mp4	248	259
sub-control015	17_Trick37_combined_small.mp4	1029	1051
sub-control015	18_Trick4_combined_small.mp4	653	676
sub-control015	19_H17_combined_small.mp4	35	58
sub-control015	20_Trick20_short_combined_small.mp4	109	121
sub-control015	21_S15_combined_small.mp4	367	382
sub-control015	22_K18_combined_small.mp4	726	736
sub-control015	23_K10_combined_small.mp4	755	766
sub-control015	24_Trick28_combined_small.mp4	691	711
sub-control015	25_S25_combined_small.mp4	399	425
sub-control015	26_S30_combined_small.mp4	274	286
sub-control015	27_S31_combined_small.mp4	137	147
sub-control015	28_K24_combined_small.mp4	1002	1013
sub-control015	29_H36_combined_small.mp4	969	986
sub-control015	30_H15_combined_small.mp4	4	19
sub-control015	31_K3_combined_small.mp4	566	578
sub-control015	32_K16_short_combined_small.mp4	813	828
sub-control015	33_S21_combined_small.mp4	189	199
sub-control015	34_Trick38_combined_small.mp4	939	952
sub-control015	35_Trick32_long_combined_small.mp4	1103	1126
sub-control015	36_Trick7_short_combined_small.mp4	595	605
sub-control017	01_H35_combined_small.mp4	759	777
sub-control017	02_H10_combined_small.mp4	219	234
sub-control017	03_H16_combined_small.mp4	162	178
sub-control017	04_S9_combined_small.mp4	980	995
sub-control017	05_K4_combined_small.mp4	493	508
sub-control017	06_H7_combined_small.mp4	587	603
sub-control017	07_K2_combined_small.mp4	830	843
sub-control017	08_S12_combined_small.mp4	523	543
sub-control017	09_S11_combined_small.mp4	466	477
sub-control017	10_S27_combined_small.mp4	685	700
sub-control017	11_K21_long_combined_small.mp4	794	815
sub-control017	12_H37_combined_small.mp4	75	89
sub-control017	13_Trick6_short_combined_small.mp4	345	363
sub-control017	14_K19_long_combined_small.mp4	132	147
sub-control017	15_S18_combined_small.mp4	4	19
sub-control017	16_H19_combined_small.mp4	1011	1022
sub-control017	17_Trick37_combined_small.mp4	647	669
sub-control017	18_Trick4_combined_small.mp4	1103	1126
sub-control017	19_H17_combined_small.mp4	1065	1088
